Id,Vorname,Nachname,Klasse,Durchschnittsnote,HatBestanden
1,Albina,Ameti,13,1.0,true
2,Edie,Muster,10,6.0,false
3,Max,Mustermann,12,4.0,true
4,Valentin,Mueller,2,5.0,false
5,Tobias,Müller,13,1.3,true
6,Hanna,Schmidt,6,1.7,true
7,Elias,Fischer,13,3.7,true
8,Adelita,Meyer,13,5.0,false
9,Lucas,Wagner,8,1.7,true
10,Laura,Bauer,4,2.3,true
11,Leon,Hartmann,7,5.0,false
12,Anna,Kaiser,10,3.7,true
13,Luka,Müller,11,2.3,true
14,Finn,Fischer,6,1.7,true
15,Julia,Meyer,9,4.3,false
16,Torben,Kaiser,10,1.3,true
17,Hannah,Möller,12,1.0,true
18,Jonas,Kraus,13,2.7,true
19,Elias,Roth,3,5.0,false
20,Emma,Bauer,12,3.3,true
21,Adolf,Müller,11,3.7,true
22,Jürgen,Hartmann,6,1.7,true
23,Ben,Kaiser,9,3.3,true
24,Ailne,Fischer,12,4.0,true
25,Fynn,Meyer,8,3.7,true
26,Leon,Bauer,4,2.0,true
27,Mia,Wagner,13,6.0,false
28,Emma,Müller,7,5.0,false
29,Karl,Lehmann,5,3.0,true
30,Sofia,Scholz,8,3.7,true
31,Ursula,Möller,9,6.0,false
32,Monika,Roth,12,2.7,true
33,Adolfina,Möller,10,3.3,true
34,Klaus,Wagner,9,2.7,true
35,Susanne,Schmidt,12,4.7,false
36,Uwe,Hartmann,10,2.3,true
37,Hans,Lehmann,7,4.7,false
38,Stefan,Scholz,10,2.3,true
39,Ada,Wagner,19,5.0,false
40,Adal,Meyer,10,2.7,true
41,Adalhard,Schmidt,8,1.7,true
